Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,4.153520,4.164520,4.148000,4.155400,4.155400,0
2018-02-08,4.168760,4.188140,4.161000,4.169950,4.169950,0
2018-02-09,4.191400,4.202350,4.177000,4.190230,4.190230,0
2018-02-12,4.181860,4.191000,4.163000,4.181780,4.181780,0
2018-02-13,4.166000,4.177700,4.162000,4.167900,4.167900,0
2018-02-14,4.165000,4.180520,4.161000,4.166200,4.166200,0
2018-02-15,4.152460,4.160200,4.143000,4.152650,4.152650,0
2018-02-16,4.153590,4.163750,4.145000,4.154600,4.154600,0
2018-02-19,4.157600,4.157600,4.129000,4.157600,4.157600,0
2018-02-20,4.133870,4.149400,4.130000,4.133830,4.133830,0
2018-02-21,4.147970,4.172600,4.143000,4.148500,4.148500,0
2018-02-22,4.172010,4.187480,4.170230,4.172500,4.172500,0
2018-02-23,4.180240,4.182900,4.164000,4.181000,4.181000,0
2018-02-26,4.171680,4.175900,4.161000,4.169760,4.169760,0
2018-02-27,4.168540,4.176450,4.161000,4.167950,4.167950,0
2018-02-28,4.171770,4.182200,4.167000,4.172340,4.172340,0
2018-03-01,4.173230,4.188700,4.173000,4.176300,4.176300,0
2018-03-02,4.186160,4.199450,4.183000,4.186170,4.186170,0
2018-03-05,4.189430,4.198340,4.182000,4.191140,4.191140,0
2018-03-06,4.186060,4.193700,4.175000,4.187550,4.187550,0
2018-03-07,4.186820,4.212590,4.182000,4.187350,4.187350,0
2018-03-08,4.212350,4.216000,4.196000,4.210650,4.210650,0
2018-03-09,4.203700,4.204300,4.189000,4.202900,4.202900,0
2018-03-12,4.189820,4.205810,4.183000,4.189670,4.189670,0
2018-03-13,4.202350,4.214950,4.199000,4.202420,4.202420,0
2018-03-14,4.208110,4.214800,4.194000,4.209400,4.209400,0
2018-03-15,4.199480,4.217600,4.194000,4.199830,4.199830,0
2018-03-16,4.213800,4.218100,4.208000,4.212600,4.212600,0
2018-03-19,4.217570,4.221200,4.209000,4.218100,4.218100,0
2018-03-20,4.222700,4.231700,4.216000,4.222060,4.222060,0
2018-03-21,4.229100,4.241770,4.224000,4.229000,4.229000,0
2018-03-22,4.223560,4.231300,4.213000,4.224400,4.224400,0
2018-03-23,4.222500,4.233300,4.212000,4.222500,4.222500,0
2018-03-26,4.229000,4.232620,4.212000,4.229050,4.229050,0
2018-03-27,4.220380,4.222700,4.205000,4.221000,4.221000,0
2018-03-28,4.208870,4.214800,4.198000,4.210700,4.210700,0
2018-03-29,4.205070,4.213600,4.198000,4.206000,4.206000,0
2018-03-30,4.204550,4.213700,4.202900,4.204410,4.204410,0
2018-04-02,4.210910,4.216600,4.206910,4.210680,4.210680,0
2018-04-03,4.208000,4.211700,4.192000,4.207110,4.207110,0
2018-04-04,4.192000,4.209900,4.190000,4.191910,4.191910,0
2018-04-05,4.201700,4.207500,4.191000,4.201320,4.201320,0
2018-04-06,4.193000,4.201720,4.188000,4.192650,4.192650,0
2018-04-09,4.197400,4.199600,4.187000,4.195480,4.195480,0
2018-04-10,4.191230,4.201500,4.181000,4.193300,4.193300,0
2018-04-11,4.187050,4.195310,4.182000,4.186950,4.186950,0
2018-04-12,4.183750,4.189200,4.173000,4.183900,4.183900,0
2018-04-13,4.179100,4.179700,4.161000,4.178320,4.178320,0
2018-04-16,4.166100,4.168700,4.147000,4.164850,4.164850,0
2018-04-17,4.151670,4.163050,4.147000,4.151330,4.151330,0
2018-04-18,4.161180,4.173800,4.156000,4.162300,4.162300,0
2018-04-19,4.161530,4.169900,4.157000,4.161900,4.161900,0
2018-04-20,4.163400,4.172900,4.161000,4.163220,4.163220,0
2018-04-23,4.174650,4.204200,4.170000,4.174710,4.174710,0
2018-04-24,4.200690,4.209300,4.193000,4.201800,4.201800,0
2018-04-25,4.206350,4.238000,4.206000,4.207200,4.207200,0
2018-04-26,4.224780,4.239210,4.221000,4.224800,4.224800,0
2018-04-27,4.226110,4.233950,4.204000,4.227700,4.227700,0
2018-04-30,4.206980,4.237160,4.201000,4.207140,4.207140,0
2018-05-01,4.237800,4.289570,4.234380,4.236740,4.236740,0
2018-05-02,4.274110,4.283300,4.249000,4.272740,4.272740,0
2018-05-03,4.267910,4.278900,4.256930,4.268770,4.268770,0
2018-05-04,4.266300,4.277590,4.237730,4.264210,4.264210,0
2018-05-07,4.244300,4.261800,4.242000,4.243380,4.243380,0
2018-05-08,4.259600,4.287800,4.251000,4.258920,4.258920,0
2018-05-09,4.279470,4.296000,4.256000,4.280600,4.280600,0
2018-05-10,4.261900,4.264900,4.234610,4.262200,4.262200,0
2018-05-11,4.250180,4.264790,4.248300,4.250250,4.250250,0
2018-05-14,4.263000,4.267300,4.252000,4.261020,4.261020,0
2018-05-15,4.270370,4.299200,4.268000,4.270880,4.270880,0
2018-05-16,4.297710,4.299650,4.272000,4.297220,4.297220,0
2018-05-17,4.272000,4.299680,4.269000,4.272300,4.272300,0
2018-05-18,4.295800,4.302500,4.282000,4.296900,4.296900,0
2018-05-21,4.299880,4.312810,4.291000,4.300700,4.300700,0
2018-05-22,4.289700,4.293030,4.266000,4.289100,4.289100,0
2018-05-23,4.280900,4.313280,4.280860,4.283100,4.283100,0
2018-05-24,4.300360,4.316100,4.287000,4.300480,4.300480,0
2018-05-25,4.307000,4.317490,4.292000,4.308120,4.308120,0
2018-05-28,4.307500,4.309300,4.291000,4.308600,4.308600,0
2018-05-29,4.299900,4.317650,4.296000,4.299660,4.299660,0
2018-05-30,4.335000,4.340060,4.302000,4.334010,4.334010,0
2018-05-31,4.308350,4.320990,4.298000,4.306200,4.306200,0
2018-06-01,4.314900,4.320690,4.300000,4.314160,4.314160,0
2018-06-04,4.297900,4.302900,4.278000,4.300050,4.300050,0
2018-06-05,4.271950,4.289510,4.264000,4.270640,4.270640,0
2018-06-06,4.278600,4.284000,4.261000,4.279000,4.279000,0
2018-06-07,4.265350,4.271900,4.253000,4.267600,4.267600,0
2018-06-08,4.276800,4.294750,4.271000,4.276300,4.276300,0
2018-06-11,4.276580,4.279400,4.259000,4.276320,4.276320,0
2018-06-12,4.263050,4.278100,4.261290,4.263620,4.263620,0
2018-06-13,4.280710,4.283600,4.269000,4.279920,4.279920,0
2018-06-14,4.275450,4.282200,4.262000,4.275700,4.275700,0
2018-06-15,4.287300,4.290400,4.270000,4.283970,4.283970,0
2018-06-18,4.277950,4.300950,4.275000,4.279400,4.279400,0
2018-06-19,4.302800,4.318800,4.293000,4.302810,4.302810,0
2018-06-20,4.309630,4.319260,4.298000,4.309160,4.309160,0
2018-06-21,4.314830,4.331600,4.312000,4.314730,4.314730,0
2018-06-22,4.327410,4.329900,4.306000,4.329200,4.329200,0
2018-06-25,4.322200,4.344780,4.314000,4.321340,4.321340,0
2018-06-26,4.344230,4.348300,4.327000,4.345300,4.345300,0
2018-06-27,4.335970,4.351600,4.323000,4.335990,4.335990,0
2018-06-28,4.349420,4.369450,4.344000,4.349780,4.349780,0
2018-06-29,4.362400,4.374300,4.346000,4.360830,4.360830,0
2018-07-02,4.363250,4.402450,4.362580,4.363300,4.363300,0
2018-07-03,4.397600,4.411000,4.383000,4.396700,4.396700,0
2018-07-04,4.393830,4.400300,4.372000,4.393580,4.393580,0
2018-07-05,4.382900,4.383400,4.345000,4.382010,4.382010,0
2018-07-06,4.351900,4.368500,4.342000,4.350900,4.350900,0
2018-07-09,4.352430,4.353700,4.309000,4.352410,4.352410,0
2018-07-10,4.309680,4.336740,4.303000,4.309350,4.309350,0
2018-07-11,4.315370,4.339470,4.311000,4.316000,4.316000,0
2018-07-12,4.338750,4.340600,4.310000,4.339740,4.339740,0
2018-07-13,4.320600,4.331400,4.308000,4.319700,4.319700,0
2018-07-16,4.310550,4.312700,4.296000,4.311050,4.311050,0
2018-07-17,4.301870,4.308600,4.286000,4.302150,4.302150,0
2018-07-18,4.294600,4.311600,4.293000,4.295600,4.295600,0
2018-07-19,4.310150,4.339580,4.304000,4.309610,4.309610,0
2018-07-20,4.340220,4.351500,4.312000,4.340710,4.340710,0
2018-07-23,4.318940,4.331200,4.311000,4.319050,4.319050,0
2018-07-24,4.326150,4.334730,4.293000,4.326700,4.326700,0
2018-07-25,4.297190,4.309250,4.289000,4.301650,4.301650,0
2018-07-26,4.294830,4.301550,4.277000,4.295250,4.295250,0
2018-07-27,4.288470,4.296700,4.254450,4.288790,4.288790,0
2018-07-30,4.283800,4.287600,4.264000,4.283600,4.283600,0
2018-07-31,4.268310,4.282010,4.264000,4.269560,4.269560,0
2018-08-01,4.274000,4.282020,4.259410,4.273900,4.273900,0
2018-08-02,4.260300,4.283840,4.258830,4.262250,4.262250,0
